"ensembl_gene_id" "chromosome_name" "start_position" "end_position" "strand" "chromosome_name.1" "start_position.1" "end_position.1" "strand.1"
"AALB007755" "e1" 11017980 14039 1 "e1" 22104915 107205 -1
"AALB009739" "e1" 12186877 5955 1 "e1" 3571832 9882 1
"AALB006674" "e1" 3495528 1169 -1 "e1" 12541162 1690 1
"AALB006341" "e1" 7828373 765 1 "e1" 6943073 1005 1
"AALB006693" "e1" 3358906 8675 -1 "e1" 15570148 7543 -1
"AALB006693" "e1" 3358906 8675 -1 "e1" 15570148 7543 -1
"AALB006884" "e1" 884193 3659 1 "e1" 19263984 5282 -1
"AALB007770" "e1" 10882546 2480 -1 "e1" 13154935 1983 -1
"AALB006445" "e1" 6343611 1666 1 "e1" 9662048 8433 1
"AALB006872" "e1" 1158359 5092 1 "e1" 3355862 16089 -1
"AALB003326" "e1" 10405038 766 1 "e1" 18252084 1708 1
"AALB006384" "e1" 7336365 1820 1 "e1" 18531766 2792 1
"AALB006382" "e1" 7356641 1976 1 "e1" 18557873 1969 1
"AALB007743" "e1" 9776823 4141 1 "e1" 11804663 3948 1
"AALB007743" "e1" 9776823 4141 1 "e1" 11804663 3948 1
"AALB006683" "e1" 3433118 1720 1 "e1" 16705324 2061 -1
"AALB006883" "e1" 980404 5106 1 "e1" 19111845 1527 -1
"AALB006607" "e1" 4499242 839 1 "e1" 7694969 4091 -1
"AALB006945" "e1" 33306 5606 -1 "e1" 12317276 92579 1
"AALB006284" "e1" 8449634 2272 -1 "e1" 3000116 1741 1
"AALB006940" "e1" 183413 1036 -1 "e1" 11415445 73340 -1
"AALB004085" "e3" 67576494 1034 1 "e1" 18328709 1757 1
"AALB008058" "e2" 45851624 1942 -1 "e1" 5133995 2027 1
"AALB008058" "e2" 45851624 1942 -1 "e1" 5133995 2027 1
"AALB006823" "e1" 1672330 2486 -1 "e1" 17536846 2778 -1
"AALB006388" "e1" 7267814 4002 1 "e1" 12859844 27104 -1
"AALB006375" "e1" 7400815 4222 -1 "e1" 6773087 1706 -1
"AALB006455" "e1" 6235988 3049 1 "e1" 9473978 6332 1
"AALB006493" "e1" 5889044 3329 1 "e1" 9857331 5381 1
"AALB006634" "e1" 4250560 2583 1 "e1" 1234904 3587 1
"AALB006321" "e1" 8052647 3216 1 "e1" 18833751 3650 1
"AALB006908" "e1" 569050 4975 1 "e1" 9898339 27883 1
"AALB003289" "e1" 10052254 2587 -1 "e1" 15552854 1663 1
"AALB006673" "e1" 3498067 23230 -1 "e1" 12519279 17447 1
"AALB006281" "e1" 8460969 3228 -1 "e1" 2965384 5352 -1
"AALB006679" "e1" 3480085 4436 1 "e1" 15745790 4116 -1
"AALB007679" "e1" 9072570 11312 1 "e1" 18370381 11319 -1
"AALB006572" "e1" 4851118 1533 1 "e1" 7833802 1771 -1
"AALB009970" "e5" 141417867 6027 1 "e1" 11318851 620 1
"AALB009970" "e5" 141417867 6027 1 "e1" 11306055 710 1
"AALB007795" "e1" 10590253 2883 -1 "e1" 15543194 5640 -1
"AALB007641" "e1" 8781492 3365 -1 "e1" 16719925 7327 1
"AALB006431" "e1" 6414404 2698 1 "e1" 2070306 2638 1
"AALB006682" "e1" 3439212 7109 -1 "e1" 7976367 27408 -1
"AALB006895" "e1" 694101 4740 1 "e1" 4925268 5348 1
"AALB007638" "e1" 8764847 4185 1 "e1" 1739264 7636 -1
"AALB006929" "e1" 343277 1212 1 "e1" 5759812 7464 -1
"AALB006932" "e1" 310834 7647 1 "e1" 5679568 16276 1
"AALB006942" "e1" 165520 8204 -1 "e1" 11387693 10124 1
