"ensembl_gene_id" "chromosome_name" "start_position" "end_position" "strand" "chromosome_name.1" "start_position.1" "end_position.1" "strand.1"
"AALB002547" "e2" 25314996 1726 -1 "e2" 46401764 1855 1
"AALB009139" "e2" 17335279 1359 1 "e2" 30434599 1434 1
"AALB008851" "e2" 21305422 1177 -1 "e2" 41208068 8709 1
"AALB002092" "e2" 35019617 6240 -1 "e2" 77263461 36776 -1
"AALB007122" "e2" 30689079 11712 1 "e2" 66830247 27744 1
"AALB009443" "e2" 13607668 2186 1 "e2" 76086958 2264 1
"AALB002261" "e2" 31719325 1800 1 "e2" 45477849 1713 1
"AALB008371" "e2" 40534937 3029 -1 "e2" 49085676 3940 -1
"AALB009653" "e2" 37025152 9470 1 "e2" 42425562 13320 -1
"AALB015863" "e2" 16933055 6834 -1 "e2" 46755299 7032 1
"AALB008971" "e2" 19703056 12511 1 "e2" 50405528 29661 1
"AALB002045" "e2" 35707349 2024 -1 "e2" 71399701 2187 1
"AALB002126" "e2" 34010005 5711 1 "e2" 41947645 7924 -1
"AALB009046" "e2" 18782664 1241 1 "e2" 44938226 1565 1
"AALB007160" "e2" 29946104 3853 1 "e2" 58119261 5852 1
"AALB007277" "e2" 28433479 1505 1 "e2" 57539455 6163 -1
"AALB008580" "e2" 60419802 1320 -1 "e2" 33339796 1710 1
"AALB003927" "e2" 38556790 8749 1 "e2" 56623521 10474 -1
"AALB003128" "e2" 49738576 2133 -1 "e2" 68117818 1307 1
"AALB007135" "e2" 30588444 4565 1 "e2" 38318796 4316 1
"AALB007135" "e2" 30588444 4565 1 "e2" 38318796 4316 1
"AALB003131" "e2" 49747165 12233 1 "e2" 68095856 2038 -1
"AALB002816" "e2" 61886539 4796 -1 "e2" 62414371 4275 1
"AALB009652" "e2" 37013926 1782 -1 "e2" 42449303 2149 1
"AALB009212" "e2" 16227272 449 1 "e2" 26576365 648 1
"AALB008969" "e2" 19719389 871 1 "e2" 50444197 1148 1
"AALB009491" "e2" 13045313 2348 -1 "e2" 59337475 2576 -1
"AALB009530" "e2" 12520573 12646 1 "e2" 58426225 12637 -1
"AALB003405" "e2" 54785303 1739 1 "e2" 31025528 2043 1
"AALB002753" "e2" 57239878 4478 -1 "e2" 45293818 1655 1
"AALB009683" "e2" 37653942 2741 -1 "e2" 48227794 4616 1
"AALB009227" "e2" 16081625 2282 1 "e2" 30119466 5118 1
"AALB009171" "e2" 16883228 10858 -1 "e2" 46816501 11974 1
"AALB002759" "e2" 57196729 3727 1 "e2" 54445841 9156 -1
"AALB003925" "e2" 38538541 2256 1 "e2" 31207125 2040 -1
"AALB009490" "e2" 13126649 2822 1 "e2" 59447139 2843 1
"AALB009368" "e2" 14610610 3400 1 "e2" 25955850 4290 1
"AALB014862" "e2" 13467603 3315 1 "e2" 75775402 3278 1
"AALB002458" "e2" 26181091 2785 -1 "e2" 30918335 12105 -1
"AALB008929" "e2" 20102084 3592 1 "e2" 81149302 23327 1
"AALB008196" "e2" 43248325 3654 1 "e2" 33870341 3961 1
"AALB015596" "e2" 54149819 868 1 "e2" 53478897 738 1
"AALB015596" "e2" 54149819 868 1 "e2" 53482513 644 1
"AALB003550" "e2" 52755523 680 -1 "e2" 81674368 981 -1
"AALB002237" "e2" 32123905 1475 1 "e2" 35907588 1481 -1
"AALB008440" "e2" 39148053 3469 -1 "e2" 50327385 8388 1
"AALB008440" "e2" 39148053 3469 -1 "e2" 50278497 3683 -1
"AALB003494" "e2" 53587214 2136 1 "e2" 80273291 2020 -1
"AALB008118" "e2" 44328714 1365 -1 "e2" 33675355 1322 1
"AALB008594" "e2" 60221074 587 -1 "e2" 33536686 620 1
"AALB002797" "e2" 56833501 1923 -1 "e2" 73655161 2457 -1
"AALB009199" "e2" 16541766 3378 1 "e2" 26896670 3222 -1
"AALB002343" "e2" 27726541 938 1 "e2" 74428700 899 -1
"AALB008994" "e2" 19356827 545 1 "e2" 52693228 543 1
"AALB009195" "e2" 16651595 3048 -1 "e2" 27010894 3211 -1
"AALB002983" "e2" 46978690 2028 1 "e2" 81873387 11834 -1
"AALB002600" "e2" 24061443 8290 -1 "e2" 61290180 8991 1
"AALB002600" "e2" 24061443 8290 -1 "e2" 61290180 8991 1
"AALB009351" "e2" 14683633 3299 1 "e2" 26039891 3419 1
"AALB009122" "e2" 17445061 2637 -1 "e2" 55540938 2609 1
"AALB009515" "e2" 12778006 3447 1 "e2" 58869873 2194 1
"AALB002396" "e2" 26866278 1855 1 "e2" 51170149 2381 -1
"AALB003495" "e2" 53573721 13142 -1 "e2" 80319154 4206 1
"AALB003495" "e2" 53573721 13142 -1 "e2" 80278731 11880 1
"AALB008823" "e2" 21681878 986 -1 "e2" 36344837 1211 -1
"AALB009335" "e2" 14842143 1432 -1 "e2" 26231895 23675 -1
"AALB002280" "e2" 31621671 522 1 "e2" 51444663 644 -1
"AALB009378" "e2" 14331914 4974 1 "e2" 25675955 6333 1
"AALB008997" "e2" 19316776 2915 -1 "e2" 52956915 3377 1
"AALB003905" "e2" 38364860 16024 1 "e2" 42851398 46949 1
"AALB002066" "e2" 35357631 13952 -1 "e2" 45037233 3880 -1
"AALB002521" "e2" 25573395 6852 1 "e2" 63745944 1770 1
"AALB009454" "e2" 13480515 9781 -1 "e2" 75801713 22733 -1
"AALB008443" "e2" 39053954 5336 -1 "e2" 50184530 1649 -1
"AALB008873" "e2" 20891042 1902 1 "e2" 59473258 3061 1
"AALB008094" "e2" 44859378 6348 1 "e2" 38703613 45636 -1
"AALB007155" "e2" 29962808 2997 1 "e2" 58148152 1044 1
"AALB007155" "e2" 29962808 2997 1 "e2" 58139885 1161 1
"AALB002663" "e2" 22875842 4224 1 "e2" 42586407 3543 -1
"AALB008974" "e2" 19681337 6788 -1 "e2" 70102449 5692 -1
"AALB007268" "e2" 28463727 3642 -1 "e2" 57496512 2038 1
"AALB008098" "e2" 44765806 2333 -1 "e2" 38803827 1748 1
"AALB015561" "e2" 30965699 1607 1 "e2" 29449696 1422 -1
"AALB003507" "e2" 53484016 4928 1 "e2" 49572342 6437 -1
"AALB010531" "e5" 150877680 2941 1 "e2" 41799454 4205 1
"AALB010531" "e5" 150877680 2941 1 "e2" 41788929 4852 1
"AALB010531" "e5" 150877680 2941 1 "e2" 41805395 6766 1
"AALB014273" "e2" 61968835 520 -1 "e2" 62327900 525 1
"AALB002295" "e2" 31131353 1149 -1 "e2" 52025356 1426 1
"AALB002295" "e2" 31131353 1149 -1 "e2" 52025356 1426 1
"AALB009407" "e2" 13807229 9831 1 "e2" 25104774 8521 1
"AALB002388" "e2" 27035303 1655 -1 "e2" 53619238 2083 -1
"AALB008305" "e2" 41441815 6580 -1 "e2" 79467656 5287 -1
"AALB002472" "e2" 26023244 3930 -1 "e2" 30751334 1479 -1
"AALB015496" "e2" 19861345 1625 1 "e2" 50630877 1820 1
"AALB008691" "e2" 58648492 8421 -1 "e2" 80406813 6558 1
"AALB002624" "e2" 23475615 1283 1 "e2" 39718146 2447 1
"AALB008279" "e2" 41966994 4884 1 "e2" 41855889 12432 1
"AALB002304" "e2" 30967448 7012 -1 "e2" 29440357 2568 1
"AALB003037" "e2" 47911225 4734 1 "e2" 67242393 22823 1
"AALB002987" "e2" 47015566 1019 1 "e2" 81846818 1299 -1
"AALB002084" "e2" 35100902 8102 -1 "e2" 75395564 8913 -1
"AALB009363" "e2" 14637306 1431 1 "e2" 25984365 2045 1
"AALB007212" "e2" 29391715 7855 -1 "e2" 63155095 7964 1
"AALB009648" "e2" 37002851 2381 1 "e2" 42485191 2370 1
"AALB003146" "e2" 49974836 772 1 "e2" 67779426 912 -1
"AALB008238" "e2" 42670803 5674 1 "e2" 47165455 2059 1
"AALB008290" "e2" 41808169 3270 1 "e2" 29054365 4246 -1
"AALB008895" "e2" 20415482 1370 -1 "e2" 52269097 1591 1
"AALB008389" "e2" 40050471 6026 1 "e2" 76369270 16255 -1
"AALB002420" "e2" 26737984 4548 1 "e2" 55707505 24167 -1
"AALB009580" "e2" 36265968 15522 -1 "e2" 27273355 96519 -1
"AALB010875" "e2" 61349320 2318 1 "e2" 66401040 1271 -1
"AALB015750" "e2" 54144642 1025 -1 "e2" 53477023 988 -1
"AALB015750" "e2" 54144642 1025 -1 "e2" 53477023 988 -1
"AALB009546" "e2" 12369270 9954 -1 "e2" 58241982 30303 -1
"AALB008364" "e2" 40712234 2592 1 "e2" 49282715 2560 1
"AALB009095" "e2" 17901063 10781 -1 "e2" 54949918 4023 1
"AALB009564" "e2" 36006820 332 -1 "e2" 70998907 671 -1
"AALB002224" "e2" 32629745 5121 1 "e2" 35302129 122187 -1
"AALB002188" "e2" 33175965 3903 -1 "e2" 37541841 4007 1
"AALB002844" "e2" 62117976 8121 1 "e2" 62077855 8839 -1
"AALB002719" "e2" 22315347 12926 1 "e2" 37118427 15592 -1
"AALB002057" "e2" 35529451 1627 1 "e2" 31357606 840 -1
"AALB003504" "e2" 53510256 8049 1 "e2" 49587716 6632 1
"AALB007132" "e2" 30617479 1481 1 "e2" 38347337 2036 1
"AALB009450" "e2" 13580457 1758 1 "e2" 76010893 1292 1
"AALB009450" "e2" 13580457 1758 1 "e2" 76061735 4111 1
"AALB009226" "e2" 16084846 6646 -1 "e2" 30126747 4213 -1
"AALB008900" "e2" 20361481 3053 1 "e2" 52328182 2966 -1
"AALB009299" "e2" 15241540 14250 -1 "e2" 24664188 12516 1
"AALB009172" "e2" 16878243 1195 1 "e2" 46832896 1356 -1
"AALB003579" "e2" 52533188 736 -1 "e2" 31667454 581 1
"AALB002977" "e2" 46931610 2879 -1 "e2" 81930267 3455 1
"AALB009365" "e2" 14633595 1858 -1 "e2" 25981497 1607 -1
"AALB008865" "e2" 20994358 15414 -1 "e2" 32839807 4206 -1
"AALB003386" "e2" 54992711 4379 1 "e2" 61844578 4914 -1
"AALB002207" "e2" 32821949 12937 1 "e2" 35181877 14687 -1
"AALB002207" "e2" 32821949 12937 1 "e2" 35181877 14687 -1
"AALB008331" "e2" 41083076 1032 -1 "e2" 82765170 16145 -1
"AALB003513" "e2" 53434867 1612 -1 "e2" 49501066 25514 -1
"AALB002105" "e2" 34675682 8520 -1 "e2" 44338543 4351 -1
"AALB009458" "e2" 13419252 7674 -1 "e2" 75709808 53344 -1
"AALB002247" "e2" 31931965 5834 -1 "e2" 40846168 6633 1
"AALB003929" "e2" 38617099 1397 -1 "e2" 56515804 12266 1
"AALB009699" "e2" 37915003 960 -1 "e2" 82339162 1446 -1
"AALB002498" "e2" 25807997 2339 -1 "e2" 67538192 2289 1
"AALB002843" "e2" 62113262 2843 -1 "e2" 62089003 2812 1
"AALB002780" "e2" 56950415 4560 1 "e2" 66794561 5174 -1
"AALB009219" "e2" 16154086 18750 1 "e2" 46461166 20516 -1
